時間,儲能(Energy Storage System),其它再生能源(Other Renewable Energy),太陽能(Solar),核能(Nuclear),民營電廠-燃氣(IPP-LNG),民營電廠-燃煤(IPP-Coal),水力(Hydro),汽電共生(Co-Gen),燃氣(LNG),燃油(Oil),燃煤(Coal),輕油(Diesel),風力(Wind),碳排放量(TCO2),每度電碳排(kgCO₂/kWh),總發電量(MW),碳排放量(TCO₂),再生能源佔比(%),化石燃料佔比(%),低碳能源佔比(%),儲能(Energy Storage System)(%),其它再生能源(Other Renewable Energy)(%),太陽能(Solar)(%),民營電廠-燃氣(IPP-LNG)(%),民營電廠-燃煤(IPP-Coal)(%),水力(Hydro)(%),汽電共生(Co-Gen)(%),燃氣(LNG)(%),燃油(Oil)(%),燃煤(Coal)(%),輕油(Diesel)(%),風力(Wind)(%)
2025-05-22 20:05,1309.2 (4.17%),36.7 (0.12%),0.0 (0.0%),0.0 (0.0%),4906.3 (15.62%),1695.9 (5.4%),1462.5 (4.65%),1696.1 (5.4%),10917.2 (34.75%),888.9 (2.83%),8322.1 (26.49%),62.0 (0.2%),123.4 (0.39%),18709.43,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 21:05,717.7 (2.32%),32.9 (0.11%),0.0 (0.0%),0.0 (0.0%),4909.2 (15.87%),1686.7 (5.45%),1613.4 (5.22%),1766.1 (5.71%),11007.4 (35.58%),704.2 (2.28%),8322.4 (26.9%),63.1 (0.2%),112.5 (0.36%),18643.15,0.6,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 22:05,586.8 (1.94%),31.3 (0.1%),0.0 (0.0%),0.0 (0.0%),4913.3 (16.27%),1676.4 (5.55%),1361.2 (4.51%),1744.7 (5.78%),10993.0 (36.41%),446.6 (1.48%),8310.8 (27.53%),59.3 (0.2%),67.7 (0.22%),18396.13,0.61,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-22 23:05,290.9 (1.0%),36.3 (0.12%),0.0 (0.0%),0.0 (0.0%),4904.7 (16.86%),1690.2 (5.81%),854.8 (2.94%),1694.5 (5.82%),10832.1 (37.23%),353.4 (1.21%),8330.9 (28.64%),52.7 (0.18%),51.9 (0.18%),18231.6,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 00:05,143.3 (0.51%),40.2 (0.14%),0.0 (0.0%),0.0 (0.0%),4514.2 (16.1%),1674.8 (5.97%),722.2 (2.58%),1657.4 (5.91%),10541.7 (37.6%),347.6 (1.24%),8300.0 (29.6%),50.1 (0.18%),45.2 (0.16%),17820.37,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 01:05,20.3 (0.08%),35.5 (0.13%),0.0 (0.0%),0.0 (0.0%),3458.0 (12.82%),1665.3 (6.17%),767.4 (2.85%),1459.9 (5.41%),10821.8 (40.13%),340.8 (1.26%),8290.7 (30.74%),45.1 (0.17%),65.3 (0.24%),17287.22,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 02:05,0.0 (0.0%),31.0 (0.12%),0.0 (0.0%),0.0 (0.0%),3378.8 (12.97%),1591.7 (6.11%),659.4 (2.53%),1332.4 (5.12%),10453.6 (40.13%),331.2 (1.27%),8030.3 (30.83%),43.9 (0.17%),194.6 (0.75%),16677.72,0.64,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 03:05,6.9 (0.03%),28.2 (0.11%),0.0 (0.0%),0.0 (0.0%),3287.8 (13.01%),1524.4 (6.03%),667.3 (2.64%),1421.8 (5.63%),10013.7 (39.63%),333.8 (1.32%),7518.1 (29.76%),42.5 (0.17%),421.2 (1.67%),15945.25,0.63,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 04:05,16.2 (0.06%),34.5 (0.14%),0.0 (0.0%),0.0 (0.0%),3233.3 (12.88%),1475.9 (5.88%),660.1 (2.63%),1444.7 (5.75%),10117.8 (40.3%),333.1 (1.33%),7130.6 (28.4%),40.7 (0.16%),619.2 (2.47%),15589.29,0.62,,,0.0,0.0,0.0,,,,,,,,,,,,
2025-05-23 05:05,0.0 (0.0%),39.4 (0.16%),4.6 (0.02%),0.0 (0.0%),3335.3 (13.39%),1427.5 (5.73%),572.0 (2.3%),1385.0 (5.56%),10071.6 (40.45%),330.5 (1.33%),6860.6 (27.55%),41.9 (0.17%),832.6 (3.34%),15293.76,0.61,,,0.0,0.0,0.0,,,,,,,,,,,,
